trial_idx,mensaje_original,mensaje_recibido,valido,errores_corregidos,errores_corregidos_count,algoritmo,hamming_n,ber,msg_bytes,bits_tx,useful_bits_delivered
1,OUXAVPUS,,False,0,0,CRC32,,0.01,8,96,0
2,IJBOCTOK,,False,0,0,CRC32,,0.01,8,96,0
3,OTSTQOHF,OTSTQOHF,True,0,0,CRC32,,0.01,8,96,64
4,NXUKZYRO,,False,0,0,CRC32,,0.01,8,96,0
5,JNXZSJHI,,False,0,0,CRC32,,0.01,8,96,0
6,TVGUWHMB,,False,0,0,CRC32,,0.01,8,96,0
7,YAKPLNMJ,,False,0,0,CRC32,,0.01,8,96,0
8,GBBUZSME,,False,0,0,CRC32,,0.01,8,96,0
9,SVMXQTSU,,False,0,0,CRC32,,0.01,8,96,0
10,XWWIKKOH,XWWIKKOH,True,0,0,CRC32,,0.01,8,96,64
11,AXBCMJRD,,False,0,0,CRC32,,0.01,8,96,0
12,FPAOLDMB,FPAOLDMB,True,0,0,CRC32,,0.01,8,96,64
13,FIINPPMG,,False,0,0,CRC32,,0.01,8,96,0
14,TZWAVELC,,False,0,0,CRC32,,0.01,8,96,0
15,ENXZDAVA,ENXZDAVA,True,0,0,CRC32,,0.01,8,96,64
16,ZQIHERXB,ZQIHERXB,True,0,0,CRC32,,0.01,8,96,64
17,GSJVNKZW,GSJVNKZW,True,0,0,CRC32,,0.01,8,96,64
18,RKQOLXII,RKQOLXII,True,0,0,CRC32,,0.01,8,96,64
19,UMYZELTS,,False,0,0,CRC32,,0.01,8,96,0
20,UIUCSLTB,UIUCSLTB,True,0,0,CRC32,,0.01,8,96,64
