trial_idx,mensaje_original,mensaje_recibido,valido,errores_corregidos,errores_corregidos_count,algoritmo,hamming_n,ber,msg_bytes,bits_tx,useful_bits_delivered
1,Q,Q,True,0,0,HAMMING,15,0.0,1,15,8
2,V,V,True,0,0,HAMMING,15,0.0,1,15,8
3,I,I,True,0,0,HAMMING,15,0.0,1,15,8
4,G,G,True,0,0,HAMMING,15,0.0,1,15,8
5,J,J,True,0,0,HAMMING,15,0.0,1,15,8
6,V,V,True,0,0,HAMMING,15,0.0,1,15,8
7,J,J,True,0,0,HAMMING,15,0.0,1,15,8
8,A,A,True,0,0,HAMMING,15,0.0,1,15,8
9,V,V,True,0,0,HAMMING,15,0.0,1,15,8
10,A,A,True,0,0,HAMMING,15,0.0,1,15,8
11,Q,Q,True,0,0,HAMMING,15,0.0,1,15,8
12,S,S,True,0,0,HAMMING,15,0.0,1,15,8
13,X,X,True,0,0,HAMMING,15,0.0,1,15,8
14,H,H,True,0,0,HAMMING,15,0.0,1,15,8
15,F,F,True,0,0,HAMMING,15,0.0,1,15,8
16,C,C,True,0,0,HAMMING,15,0.0,1,15,8
17,H,H,True,0,0,HAMMING,15,0.0,1,15,8
18,T,T,True,0,0,HAMMING,15,0.0,1,15,8
19,X,X,True,0,0,HAMMING,15,0.0,1,15,8
20,O,O,True,0,0,HAMMING,15,0.0,1,15,8
